Infinitive,начина́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,начина́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,начина́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,начина́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,начина́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,начина́юсь
2nd Sing,начина́ешься
3rd Sing,начина́ется
1st Pl,начина́емся
2nd Pl,начина́етесь
3rd Pl,начина́ются
Past M,начина́лся
Past F,начина́лась
Past N,начина́лось
Past PL,начина́лись
Imp S,начина́йся
Imp PL,начина́йтесь
