Infinitive,надра́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,надра́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,надра́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,надра́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,надра́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,надра́ю
2nd Sing,надра́ишь
3rd Sing,надра́ит
1st Pl,надра́им
2nd Pl,надра́ите
3rd Pl,надра́ят
Past M,надра́ил
Past F,надра́ила
Past N,надра́ило
Past PL,надра́или
Imp S,надра́й
Imp PL,надра́йте
