Infinitive,наслы́шаться
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наслы́шавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наслы́шавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наслы́шусь
2nd Sing,наслы́шишься
3rd Sing,наслы́шится
1st Pl,наслы́шимся
2nd Pl,наслы́шитесь
3rd Pl,наслы́шатся
Past M,наслы́шался
Past F,наслы́шалась
Past N,наслы́шалось
Past PL,наслы́шались
Imp S,—
Imp PL,—
