Infinitive,наве́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наве́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наве́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наве́яв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наве́явши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наве́ю
2nd Sing,наве́ешь
3rd Sing,наве́ет
1st Pl,наве́ем
2nd Pl,наве́ете
3rd Pl,наве́ют
Past M,наве́ял
Past F,наве́яла
Past N,наве́яло
Past PL,наве́яли
Imp S,наве́й
Imp PL,наве́йте
