Infinitive,наце́лить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наце́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наце́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наце́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наце́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наце́лю
2nd Sing,наце́лишь
3rd Sing,наце́лит
1st Pl,наце́лим
2nd Pl,наце́лите
3rd Pl,наце́лят
Past M,наце́лил
Past F,наце́лила
Past N,наце́лило
Past PL,наце́лили
Imp S,наце́ль
Imp PL,наце́льте
