Infinitive,напра́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,напра́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напра́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напра́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,напра́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,напра́влю
2nd Sing,напра́вишь
3rd Sing,напра́вит
1st Pl,напра́вим
2nd Pl,напра́вите
3rd Pl,напра́вят
Past M,напра́вил
Past F,напра́вила
Past N,напра́вило
Past PL,напра́вили
Imp S,напра́вь
Imp PL,напра́вьте
