Infinitive,надрыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,надрыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,надрыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,надрыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,надрыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,надрыва́юсь
2nd Sing,надрыва́ешься
3rd Sing,надрыва́ется
1st Pl,надрыва́емся
2nd Pl,надрыва́етесь
3rd Pl,надрыва́ются
Past M,надрыва́лся
Past F,надрыва́лась
Past N,надрыва́лось
Past PL,надрыва́лись
Imp S,надрыва́йся
Imp PL,надрыва́йтесь
