Infinitive,намерева́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,намерева́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,намерева́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,намерева́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,намерева́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,намерева́юсь
2nd Sing,намерева́ешься
3rd Sing,намерева́ется
1st Pl,намерева́емся
2nd Pl,намерева́етесь
3rd Pl,намерева́ются
Past M,намерева́лся
Past F,намерева́лась
Past N,намерева́лось
Past PL,намерева́лись
Imp S,намерева́йся
Imp PL,намерева́йтесь
