Infinitive,ошива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ошива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ошива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ошива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ошива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ошива́юсь
2nd Sing,ошива́ешься
3rd Sing,ошива́ется
1st Pl,ошива́емся
2nd Pl,ошива́етесь
3rd Pl,ошива́ются
Past M,ошива́лся
Past F,ошива́лась
Past N,ошива́лось
Past PL,ошива́лись
Imp S,ошива́йся
Imp PL,ошива́йтесь
