Infinitive,ошара́шить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ошара́шивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ошара́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ошара́шив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ошара́шивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ошара́шу
2nd Sing,ошара́шишь
3rd Sing,ошара́шит
1st Pl,ошара́шим
2nd Pl,ошара́шите
3rd Pl,ошара́шат
Past M,ошара́шил
Past F,ошара́шила
Past N,ошара́шило
Past PL,ошара́шили
Imp S,ошара́шь
Imp PL,ошара́шьте
