Infinitive,ошале́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ошале́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ошале́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ошале́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ошале́ю
2nd Sing,ошале́ешь
3rd Sing,ошале́ет
1st Pl,ошале́ем
2nd Pl,ошале́ете
3rd Pl,ошале́ют
Past M,ошале́л
Past F,ошале́ла
Past N,ошале́ло
Past PL,ошале́ли
Imp S,ошале́й
Imp PL,ошале́йте
