Infinitive,ошиба́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ошиба́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ошиба́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ошиба́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ошиба́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ошиба́юсь
2nd Sing,ошиба́ешься
3rd Sing,ошиба́ется
1st Pl,ошиба́емся
2nd Pl,ошиба́етесь
3rd Pl,ошиба́ются
Past M,ошиба́лся
Past F,ошиба́лась
Past N,ошиба́лось
Past PL,ошиба́лись
Imp S,ошиба́йся
Imp PL,ошиба́йтесь
