Infinitive,ошеломи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ошеломи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ошеломлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ошеломи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ошеломи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ошеломлю́
2nd Sing,ошеломи́шь
3rd Sing,ошеломи́т
1st Pl,ошеломи́м
2nd Pl,ошеломи́те
3rd Pl,ошеломя́т
Past M,ошеломи́л
Past F,ошеломи́ла
Past N,ошеломи́ло
Past PL,ошеломи́ли
Imp S,ошеломи́
Imp PL,ошеломи́те
