Infinitive,оштрафова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,оштрафова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,оштрафо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,оштрафова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,оштрафова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,оштрафу́ю
2nd Sing,оштрафу́ешь
3rd Sing,оштрафу́ет
1st Pl,оштрафу́ем
2nd Pl,оштрафу́ете
3rd Pl,оштрафу́ют
Past M,оштрафова́л
Past F,оштрафова́ла
Past N,оштрафова́ло
Past PL,оштрафова́ли
Imp S,оштрафу́й
Imp PL,оштрафу́йте
