Infinitive,ошпа́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ошпа́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ошпа́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ошпа́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ошпа́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ошпа́рю
2nd Sing,ошпа́ришь
3rd Sing,ошпа́рит
1st Pl,ошпа́рим
2nd Pl,ошпа́рите
3rd Pl,ошпа́рят
Past M,ошпа́рил
Past F,ошпа́рила
Past N,ошпа́рило
Past PL,ошпа́рили
Imp S,ошпа́рь
Imp PL,ошпа́рьте
