Infinitive,эксплуати́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,эксплуати́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,эксплуати́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,эксплуати́руемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,эксплуати́рованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,эксплуати́руя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,эксплуати́ровав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,эксплуати́ровавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,эксплуати́рую
2nd Sing,эксплуати́руешь
3rd Sing,эксплуати́рует
1st Pl,эксплуати́руем
2nd Pl,эксплуати́руете
3rd Pl,эксплуати́руют
Past M,эксплуати́ровал
Past F,эксплуати́ровала
Past N,эксплуати́ровало
Past PL,эксплуати́ровали
Imp S,эксплуати́руй
Imp PL,эксплуати́руйте
