Infinitive,эксперименти́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,эксперименти́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,эксперименти́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,эксперименти́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,эксперименти́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,эксперименти́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,эксперименти́рую
2nd Sing,эксперименти́руешь
3rd Sing,эксперименти́рует
1st Pl,эксперименти́руем
2nd Pl,эксперименти́руете
3rd Pl,эксперименти́руют
Past M,эксперименти́ровал
Past F,эксперименти́ровала
Past N,эксперименти́ровало
Past PL,эксперименти́ровали
Imp S,эксперименти́руй
Imp PL,эксперименти́руйте
