Infinitive,пырну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пырну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пырну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пырну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пырну́
2nd Sing,пырнёшь
3rd Sing,пырнёт
1st Pl,пырнём
2nd Pl,пырнёте
3rd Pl,пырну́т
Past M,пырну́л
Past F,пырну́ла
Past N,пырну́ло
Past PL,пырну́ли
Imp S,пырни́
Imp PL,пырни́те
