Infinitive,пыли́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пыля́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пыли́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пыля́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пыли́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пыли́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пылю́
2nd Sing,пыли́шь
3rd Sing,пыли́т
1st Pl,пыли́м
2nd Pl,пыли́те
3rd Pl,пыля́т
Past M,пыли́л
Past F,пыли́ла
Past N,пыли́ло
Past PL,пыли́ли
Imp S,пыли́
Imp PL,пыли́те
