Infinitive,пыла́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пыла́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пыла́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пыла́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пыла́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пыла́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пыла́ю
2nd Sing,пыла́ешь
3rd Sing,пыла́ет
1st Pl,пыла́ем
2nd Pl,пыла́ете
3rd Pl,пыла́ют
Past M,пыла́л
Past F,пыла́ла
Past N,пыла́ло
Past PL,пыла́ли
Imp S,пыла́й
Imp PL,пыла́йте
