Infinitive,пыли́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пыля́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пыли́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пыля́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пыли́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пылю́сь
2nd Sing,пыли́шься
3rd Sing,пыли́тся
1st Pl,пыли́мся
2nd Pl,пыли́тесь
3rd Pl,пыля́тся
Past M,пыли́лся
Past F,пыли́лась
Past N,пыли́лось
Past PL,пыли́лись
Imp S,пыли́сь
Imp PL,пыли́тесь
