Infinitive,пы́хать
Zaliznyak Class,6a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пы́шущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пы́хавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пы́ша
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пы́хав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пы́хавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пы́шу
2nd Sing,пы́шешь
3rd Sing,пы́шет
1st Pl,пы́шем
2nd Pl,пы́шете
3rd Pl,пы́шут
Past M,пы́хал
Past F,пы́хала
Past N,пы́хало
Past PL,пы́хали
Imp S,пы́шь
Imp PL,пы́шьте
