Infinitive,пыхте́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пыхтя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пыхте́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пыхтя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пыхте́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пыхте́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пыхчу́
2nd Sing,пыхти́шь
3rd Sing,пыхти́т
1st Pl,пыхти́м
2nd Pl,пыхти́те
3rd Pl,пыхтя́т
Past M,пыхте́л
Past F,пыхте́ла
Past N,пыхте́ло
Past PL,пыхте́ли
Imp S,пыхти́
Imp PL,пыхти́те
