Infinitive,пыта́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пыта́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пыта́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пыта́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пыта́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пыта́юсь
2nd Sing,пыта́ешься
3rd Sing,пыта́ется
1st Pl,пыта́емся
2nd Pl,пыта́етесь
3rd Pl,пыта́ются
Past M,пыта́лся
Past F,пыта́лась
Past N,пыта́лось
Past PL,пыта́лись
Imp S,пыта́йся
Imp PL,пыта́йтесь
