Infinitive,пыхну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пыхну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пыхну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пыхну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пыхну́
2nd Sing,пыхнёшь
3rd Sing,пыхнёт
1st Pl,пыхнём
2nd Pl,пыхнёте
3rd Pl,пыхну́т
Past M,пыхну́л
Past F,пыхну́ла
Past N,пыхну́ло
Past PL,пыхну́ли
Imp S,пыхни́
Imp PL,пыхни́те
