Infinitive,жра́ть
Zaliznyak Class,6°b/c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,жру́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,жра́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,жра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,жра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,жру́
2nd Sing,жрёшь
3rd Sing,жрёт
1st Pl,жрём
2nd Pl,жрёте
3rd Pl,жру́т
Past M,жра́л
Past F,жрала́
Past N,жра́ло
Past PL,жра́ли
Imp S,жри́
Imp PL,жри́те
