Infinitive,вцепля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вцепля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вцепля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вцепля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вцепля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вцепля́юсь
2nd Sing,вцепля́ешься
3rd Sing,вцепля́ется
1st Pl,вцепля́емся
2nd Pl,вцепля́етесь
3rd Pl,вцепля́ются
Past M,вцепля́лся
Past F,вцепля́лась
Past N,вцепля́лось
Past PL,вцепля́лись
Imp S,вцепля́йся
Imp PL,вцепля́йтесь
