Infinitive,вцепи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вцепи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вцепи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вцеплю́сь
2nd Sing,вце́пишься
3rd Sing,вце́пится
1st Pl,вце́пимся
2nd Pl,вце́питесь
3rd Pl,вце́пятся
Past M,вцепи́лся
Past F,вцепи́лась
Past N,вцепи́лось
Past PL,вцепи́лись
Imp S,вцепи́сь
Imp PL,вцепи́тесь
