Infinitive,гнуша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,гнуша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гнуша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гнуша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,гнуша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,гнуша́юсь
2nd Sing,гнуша́ешься
3rd Sing,гнуша́ется
1st Pl,гнуша́емся
2nd Pl,гнуша́етесь
3rd Pl,гнуша́ются
Past M,гнуша́лся
Past F,гнуша́лась
Past N,гнуша́лось
Past PL,гнуша́лись
Imp S,гнуша́йся
Imp PL,гнуша́йтесь
