Infinitive,гнезди́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,гнездя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гнезди́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гнездя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,гнезди́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,гнезжу́сь
2nd Sing,гнезди́шься
3rd Sing,гнезди́тся
1st Pl,гнезди́мся
2nd Pl,гнезди́тесь
3rd Pl,гнездя́тся
Past M,гнезди́лся
Past F,гнезди́лась
Past N,гнезди́лось
Past PL,гнезди́лись
Imp S,гнезди́сь
Imp PL,гнезди́тесь
