Infinitive,гна́ть
Zaliznyak Class,5c/c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,гоня́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гна́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гони́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,гоня́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,гна́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,гна́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,гоню́
2nd Sing,го́нишь
3rd Sing,го́нит
1st Pl,го́ним
2nd Pl,го́ните
3rd Pl,го́нят
Past M,гна́л
Past F,гнала́
Past N,гна́ло
Past PL,гна́ли
Imp S,гони́
Imp PL,гони́те
