Infinitive,гни́ть
Zaliznyak Class,12b/c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,гнию́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гни́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,гни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,гнию́
2nd Sing,гниёшь
3rd Sing,гниёт
1st Pl,гниём
2nd Pl,гниёте
3rd Pl,гнию́т
Past M,гни́л
Past F,гнила́
Past N,гни́ло
Past PL,гни́ли
Imp S,—
Imp PL,—
