Infinitive,гне́ваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,гне́вающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гне́вавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гне́ваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,гне́вавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,гне́ваюсь
2nd Sing,гне́ваешься
3rd Sing,гне́вается
1st Pl,гне́ваемся
2nd Pl,гне́ваетесь
3rd Pl,гне́ваются
Past M,гне́вался
Past F,гне́валась
Past N,гне́валось
Past PL,гне́вались
Imp S,гне́вайся
Imp PL,гне́вайтесь
