Infinitive,гну́ться
Zaliznyak Class,3b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,гну́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гну́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гну́вшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,гну́сь
2nd Sing,гнёшься
3rd Sing,гнётся
1st Pl,гнёмся
2nd Pl,гнётесь
3rd Pl,гну́тся
Past M,гну́лся
Past F,гну́лась
Past N,гну́лось
Past PL,гну́лись
Imp S,гни́сь
Imp PL,гни́тесь
