Infinitive,гна́ться
Zaliznyak Class,5c/c''
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,гоня́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гна́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гоня́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,гна́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,гоню́сь
2nd Sing,го́нишься
3rd Sing,го́нится
1st Pl,го́нимся
2nd Pl,го́нитесь
3rd Pl,го́нятся
Past M,гна́лся
Past F,гнала́сь
Past N,гнало́сь
Past PL,гнали́сь
Imp S,гони́сь
Imp PL,гони́тесь
