Infinitive,чередова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,череду́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чередова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,череду́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,чередова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,череду́юсь
2nd Sing,череду́ешься
3rd Sing,череду́ется
1st Pl,череду́емся
2nd Pl,череду́етесь
3rd Pl,череду́ются
Past M,чередова́лся
Past F,чередова́лась
Past N,чередова́лось
Past PL,чередова́лись
Imp S,череду́йся
Imp PL,череду́йтесь
