Infinitive,чертыха́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,чертыха́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чертыха́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чертыха́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,чертыха́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,чертыха́юсь
2nd Sing,чертыха́ешься
3rd Sing,чертыха́ется
1st Pl,чертыха́емся
2nd Pl,чертыха́етесь
3rd Pl,чертыха́ются
Past M,чертыха́лся
Past F,чертыха́лась
Past N,чертыха́лось
Past PL,чертыха́лись
Imp S,чертыха́йся
Imp PL,чертыха́йтесь
