Infinitive,чеса́ть
Zaliznyak Class,6c(-ё-)
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,че́шущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чеса́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чёсанный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,чеса́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,чеса́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,чешу́
2nd Sing,че́шешь
3rd Sing,че́шет
1st Pl,че́шем
2nd Pl,че́шете
3rd Pl,че́шут
Past M,чеса́л
Past F,чеса́ла
Past N,чеса́ло
Past PL,чеса́ли
Imp S,чеши́
Imp PL,чеши́те
