Infinitive,чертыхну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,чертыхну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,чертыхну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,чертыхну́сь
2nd Sing,чертыхнёшься
3rd Sing,чертыхнётся
1st Pl,чертыхнёмся
2nd Pl,чертыхнётесь
3rd Pl,чертыхну́тся
Past M,чертыхну́лся
Past F,чертыхну́лась
Past N,чертыхну́лось
Past PL,чертыхну́лись
Imp S,чертыхни́сь
Imp PL,чертыхни́тесь
