Infinitive,чеса́ться
Zaliznyak Class,6c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,че́шущийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чеса́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чеса́вшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,чешу́сь
2nd Sing,че́шешься
3rd Sing,че́шется
1st Pl,че́шемся
2nd Pl,че́шетесь
3rd Pl,че́шутся
Past M,чеса́лся
Past F,чеса́лась
Past N,чеса́лось
Past PL,чеса́лись
Imp S,чеши́сь
Imp PL,чеши́тесь
