Infinitive,ки́снуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ки́снущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ки́сший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ки́снувший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,ки́снув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ки́сши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ки́сну
2nd Sing,ки́снешь
3rd Sing,ки́снет
1st Pl,ки́снем
2nd Pl,ки́снете
3rd Pl,ки́снут
Past M,ки́с
Past F,ки́сла
Past N,ки́сло
Past PL,ки́сли
Imp S,ки́сни
Imp PL,ки́сните
