Infinitive,ки́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ки́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ки́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ки́нусь
2nd Sing,ки́нешься
3rd Sing,ки́нется
1st Pl,ки́немся
2nd Pl,ки́нетесь
3rd Pl,ки́нутся
Past M,ки́нулся
Past F,ки́нулась
Past N,ки́нулось
Past PL,ки́нулись
Imp S,ки́нься
Imp PL,ки́ньтесь
