Infinitive,кипяти́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кипятя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кипяти́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кипятя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кипяти́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кипячу́сь
2nd Sing,кипяти́шься
3rd Sing,кипяти́тся
1st Pl,кипяти́мся
2nd Pl,кипяти́тесь
3rd Pl,кипятя́тся
Past M,кипяти́лся
Past F,кипяти́лась
Past N,кипяти́лось
Past PL,кипяти́лись
Imp S,кипяти́сь
Imp PL,кипяти́тесь
