Infinitive,кида́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кида́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кида́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кида́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кида́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кида́юсь
2nd Sing,кида́ешься
3rd Sing,кида́ется
1st Pl,кида́емся
2nd Pl,кида́етесь
3rd Pl,кида́ются
Past M,кида́лся
Past F,кида́лась
Past N,кида́лось
Past PL,кида́лись
Imp S,кида́йся
Imp PL,кида́йтесь
