Infinitive,кичи́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кича́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кичи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кича́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кичи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кичу́сь
2nd Sing,кичи́шься
3rd Sing,кичи́тся
1st Pl,кичи́мся
2nd Pl,кичи́тесь
3rd Pl,кича́тся
Past M,кичи́лся
Past F,кичи́лась
Past N,кичи́лось
Past PL,кичи́лись
Imp S,кичи́сь
Imp PL,кичи́тесь
