Infinitive,ки́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ки́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ки́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ки́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ки́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ки́ну
2nd Sing,ки́нешь
3rd Sing,ки́нет
1st Pl,ки́нем
2nd Pl,ки́нете
3rd Pl,ки́нут
Past M,ки́нул
Past F,ки́нула
Past N,ки́нуло
Past PL,ки́нули
Imp S,ки́нь
Imp PL,ки́ньте
