Infinitive,кивну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,кивну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,кивну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,кивну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,кивну́
2nd Sing,кивнёшь
3rd Sing,кивнёт
1st Pl,кивнём
2nd Pl,кивнёте
3rd Pl,кивну́т
Past M,кивну́л
Past F,кивну́ла
Past N,кивну́ло
Past PL,кивну́ли
Imp S,кивни́
Imp PL,кивни́те
