Infinitive,щебета́ть
Zaliznyak Class,6c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,щебе́чущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,щебета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,щебеча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,щебета́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,щебета́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,щебечу́
2nd Sing,щебе́чешь
3rd Sing,щебе́чет
1st Pl,щебе́чем
2nd Pl,щебе́чете
3rd Pl,щебе́чут
Past M,щебета́л
Past F,щебета́ла
Past N,щебета́ло
Past PL,щебета́ли
Imp S,щебечи́
Imp PL,щебечи́те
