Infinitive,дыша́ть
Zaliznyak Class,5c④
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ды́шащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дыша́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дыша́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дыша́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дыша́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дышу́
2nd Sing,ды́шишь
3rd Sing,ды́шит
1st Pl,ды́шим
2nd Pl,ды́шите
3rd Pl,ды́шат
Past M,дыша́л
Past F,дыша́ла
Past N,дыша́ло
Past PL,дыша́ли
Imp S,дыши́
Imp PL,дыши́те
