Infinitive,дыми́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дымя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дыми́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дымя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дыми́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дымлю́сь
2nd Sing,дыми́шься
3rd Sing,дыми́тся
1st Pl,дыми́мся
2nd Pl,дыми́тесь
3rd Pl,дымя́тся
Past M,дыми́лся
Past F,дыми́лась
Past N,дыми́лось
Past PL,дыми́лись
Imp S,дыми́сь
Imp PL,дыми́тесь
