Infinitive,уцени́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уцени́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уценённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уцени́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уцени́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уценю́
2nd Sing,уце́нишь
3rd Sing,уце́нит
1st Pl,уце́ним
2nd Pl,уце́ните
3rd Pl,уце́нят
Past M,уцени́л
Past F,уцени́ла
Past N,уцени́ло
Past PL,уцени́ли
Imp S,уцени́
Imp PL,уцени́те
