Infinitive,уцеле́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уцеле́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уцеле́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,уцеле́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,уцеле́ю
2nd Sing,уцеле́ешь
3rd Sing,уцеле́ет
1st Pl,уцеле́ем
2nd Pl,уцеле́ете
3rd Pl,уцеле́ют
Past M,уцеле́л
Past F,уцеле́ла
Past N,уцеле́ло
Past PL,уцеле́ли
Imp S,уцеле́й
Imp PL,уцеле́йте
