Infinitive,уцепи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уцепи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уцепи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уцеплю́сь
2nd Sing,уце́пишься
3rd Sing,уце́пится
1st Pl,уце́пимся
2nd Pl,уце́питесь
3rd Pl,уце́пятся
Past M,уцепи́лся
Past F,уцепи́лась
Past N,уцепи́лось
Past PL,уцепи́лись
Imp S,уцепи́сь
Imp PL,уцепи́тесь
