Infinitive,осы́паться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,осы́павшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осы́павшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,осы́плюсь
2nd Sing,осы́плешься
3rd Sing,осы́плется
1st Pl,осы́племся
2nd Pl,осы́плетесь
3rd Pl,осы́плются
Past M,осы́пался
Past F,осы́палась
Past N,осы́палось
Past PL,осы́пались
Imp S,осы́пься
Imp PL,осы́пьтесь
