Infinitive,ослепи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ослепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ослеплённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ослепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ослепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ослеплю́
2nd Sing,ослепи́шь
3rd Sing,ослепи́т
1st Pl,ослепи́м
2nd Pl,ослепи́те
3rd Pl,ослепя́т
Past M,ослепи́л
Past F,ослепи́ла
Past N,ослепи́ло
Past PL,ослепи́ли
Imp S,ослепи́
Imp PL,ослепи́те
