Infinitive,осве́домиться
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,осве́домившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осве́домившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,осве́домлюсь
2nd Sing,осве́домишься
3rd Sing,осве́домится
1st Pl,осве́домимся
2nd Pl,осве́домитесь
3rd Pl,осве́домятся
Past M,осве́домился
Past F,осве́домилась
Past N,осве́домилось
Past PL,осве́домились
Imp S,осве́домись
Imp PL,осве́домьтесь
