Infinitive,осведомля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,осведомля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,осведомля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осведомля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,осведомля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осведомля́юсь
2nd Sing,осведомля́ешься
3rd Sing,осведомля́ется
1st Pl,осведомля́емся
2nd Pl,осведомля́етесь
3rd Pl,осведомля́ются
Past M,осведомля́лся
Past F,осведомля́лась
Past N,осведомля́лось
Past PL,осведомля́лись
Imp S,осведомля́йся
Imp PL,осведомля́йтесь
