Infinitive,освеща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,освеща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,освеща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,освеща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,освеща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,освеща́юсь
2nd Sing,освеща́ешься
3rd Sing,освеща́ется
1st Pl,освеща́емся
2nd Pl,освеща́етесь
3rd Pl,освеща́ются
Past M,освеща́лся
Past F,освеща́лась
Past N,освеща́лось
Past PL,освеща́лись
Imp S,освеща́йся
Imp PL,освеща́йтесь
