Infinitive,освяти́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,освяти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,освящённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,освяти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,освяти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,освящу́
2nd Sing,освяти́шь
3rd Sing,освяти́т
1st Pl,освяти́м
2nd Pl,освяти́те
3rd Pl,освятя́т
Past M,освяти́л
Past F,освяти́ла
Past N,освяти́ло
Past PL,освяти́ли
Imp S,освяти́
Imp PL,освяти́те
