Infinitive,осточерте́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,осточерте́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осточерте́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,осточерте́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,осточерте́ю
2nd Sing,осточерте́ешь
3rd Sing,осточерте́ет
1st Pl,осточерте́ем
2nd Pl,осточерте́ете
3rd Pl,осточерте́ют
Past M,осточерте́л
Past F,осточерте́ла
Past N,осточерте́ло
Past PL,осточерте́ли
Imp S,осточерте́й
Imp PL,осточерте́йте
