Infinitive,останови́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,останови́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,останови́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,остановлю́сь
2nd Sing,остано́вишься
3rd Sing,остано́вится
1st Pl,остано́вимся
2nd Pl,остано́витесь
3rd Pl,остано́вятся
Past M,останови́лся
Past F,останови́лась
Past N,останови́лось
Past PL,останови́лись
Imp S,останови́сь
Imp PL,останови́тесь
