Infinitive,осма́триваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,осма́тривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,осма́тривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осма́триваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,осма́тривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осма́триваюсь
2nd Sing,осма́триваешься
3rd Sing,осма́тривается
1st Pl,осма́триваемся
2nd Pl,осма́триваетесь
3rd Pl,осма́триваются
Past M,осма́тривался
Past F,осма́тривалась
Past N,осма́тривалось
Past PL,осма́тривались
Imp S,осма́тривайся
Imp PL,осма́тривайтесь
