Infinitive,осуди́ть
Zaliznyak Class,4c⑦(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,осуди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осуждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,осуди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,осуди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,осужу́
2nd Sing,осу́дишь
3rd Sing,осу́дит
1st Pl,осу́дим
2nd Pl,осу́дите
3rd Pl,осу́дят
Past M,осуди́л
Past F,осуди́ла
Past N,осуди́ло
Past PL,осуди́ли
Imp S,осуди́
Imp PL,осуди́те
