Infinitive,осме́литься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,осме́лившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,осме́лившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,осме́люсь
2nd Sing,осме́лишься
3rd Sing,осме́лится
1st Pl,осме́лимся
2nd Pl,осме́литесь
3rd Pl,осме́лятся
Past M,осме́лился
Past F,осме́лилась
Past N,осме́лилось
Past PL,осме́лились
Imp S,осме́лься
Imp PL,осме́льтесь
